"Original Name","Search Keyword","Item Name on Carrefour","Price"
"اونجى مناديل 120 منديل","اونجى مناديل 120 منديل | اونجى مناديل 120","",""
"هايت فريش مناديل 40 منديل","هايت فريش مناديل 40 منديل | هايت فريش مناديل","",""
"حرير سويت شرائح","حرير سويت شرائح","",""
"فريده منظف ارضيات مشمش 480 مل","فريده منظف ارضيات مشمش 480 مل | فريده منظف ارضيات مشمش 480 | فريده منظف ارضيات","",""
"بليس ليف ان كريم 450 جرام فيتامين E","بليس ليف ان كريم 450 جرام فيتامين E | بليس ليف ان كريم 450 | بليس ليف ان","",""
"بليس ليف ان كريم 450 جرام بجوز الهند","بليس ليف ان كريم 450 جرام بجوز الهند | بليس ليف ان كريم 450 | بليس ليف ان","",""
"نونو شامبو اطفال لافندر 200 مل","نونو شامبو اطفال لافندر 200 مل | نونو شامبو اطفال لافندر 200 | نونو شامبو اطفال","",""
"بليس ليف ان كريم بجوز الهند 250 ملى","بليس ليف ان كريم بجوز الهند 250 ملى | بليس ليف ان كريم بجوز | بليس ليف ان","",""
"بليس ليف ان كريم بزيت الارجان 180 مل","بليس ليف ان كريم بزيت الارجان 180 مل | بليس ليف ان كريم بزيت | بليس ليف ان","",""
"بليس ليف ان كريم بالشيا 250 ملى","بليس ليف ان كريم بالشيا 250 ملى | بليس ليف ان كريم بالشيا | بليس ليف ان","",""
"بليس ليف ان كريم بزبدة الشيا 180 مل","بليس ليف ان كريم بزبدة الشيا 180 مل | بليس ليف ان كريم بزبدة | بليس ليف ان","",""
"اونجى مناديل 72 منديل","اونجى مناديل 72 منديل | اونجى مناديل 72","",""
"ماكرو جولد اكستند غسول نسائى للمنطقه الحساسه 120 مل","ماكرو جولد اكستند غسول نسائى للمنطقه الحساسه 120 مل | ماكرو جولد اكستند غسول نسائى | ماكرو جولد اكستند","",""
"ديوركس عازل طبى الوان علبه*3ق","ديوركس عازل طبى الوان 3ق | ديوركس عازل طبى","",""
"ديوركس عازل طبى امان تام ازرق علبه3ق","ديوركس عازل طبى امان تام ازرق علبه3ق | ديوركس عازل طبى امان تام | ديوركس عازل طبى","",""
"كيدى جارد مناديل 72 منديل","كيدى جارد مناديل 72 منديل | كيدى جارد مناديل","",""
"ستاركى شامبو 400 ملى ارجان","ستاركى شامبو 400 ملى ارجان | ستاركى شامبو 400","",""
"ستاركى شامبو 400 ملى جوزهند","ستاركى شامبو 400 ملى جوزهند | ستاركى شامبو 400","",""
"ستاركى شامبو 400 ملى بالفحم","ستاركى شامبو 400 ملى بالفحم | ستاركى شامبو 400","",""
